size,density,alpha,beta, population, generations, offspring,  baseline_cost,ga_cost,improvement %,elapsed_time_min,is_valid,challenge, split_probability
10,0.2,2.0,0.1,10,100, 6, 51.29,23.75,46.31,0.00,True,WIN,0.9
10,0.2,2.0,0.5,10,100, 6, 419.40,295.75,70.52,0.00,True,WIN,0.75
10,0.2,2.0,1.0,10,100, 6, 9775.81,9766.29,99.90,0.00,True,WIN,0.10999999999999999
10,0.2,2.0,2.0,10,100, 6, 7343389.65,19050.23,0.26,0.00,True,WIN,0.1
10,0.2,2.0,4.0,10,100, 6, 6610177283014.04,18276.48,0.00,0.00,True,WIN,0.1
10,0.2,2.0,5.0,10,100, 6, 6938235737914684.00,17648.67,0.00,0.00,True,WIN,0.1
10,0.2,4.0,0.1,10,100, 6, 53.77,23.77,44.22,0.00,True,WIN,0.9
10,0.2,4.0,0.5,10,100, 6, 586.17,435.24,74.25,0.00,True,WIN,0.75
10,0.2,4.0,1.0,10,100, 6, 19534.87,19525.35,99.95,0.00,True,WIN,0.1
10,0.2,4.0,2.0,10,100, 6, 29373508.31,38398.96,0.13,0.00,True,WIN,0.1
10,0.2,4.0,4.0,10,100, 6, 105762836527973.27,49478.66,0.00,0.00,True,WIN,0.1
10,0.2,4.0,5.0,10,100, 6, 222023543613269376.00,61335.84,0.00,0.00,True,WIN,0.1
10,0.2,5.0,0.1,10,100, 6, 54.60,25.59,46.87,0.00,True,WIN,0.9
10,0.2,5.0,0.5,10,100, 6, 653.38,472.48,72.31,0.00,True,WIN,0.75
10,0.2,5.0,1.0,10,100, 6, 24414.40,24404.88,99.96,0.00,True,WIN,0.1
10,0.2,5.0,2.0,10,100, 6, 45896097.31,49947.99,0.11,0.00,True,WIN,0.1
10,0.2,5.0,4.0,10,100, 6, 258210050117098.06,92678.43,0.00,0.00,True,WIN,0.1
10,0.2,5.0,5.0,10,100, 6, 677562083780729472.00,146929.36,0.00,0.00,True,WIN,0.1
10,0.5,0.0,0.1,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.9
10,0.5,0.0,0.5,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.75
10,0.5,0.0,1.0,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.51
10,0.5,0.0,2.0,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.1
10,0.5,0.0,4.0,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.1
10,0.5,0.0,5.0,10,100, 6, 8.16,4.41,54.03,0.00,True,WIN,0.1
10,0.5,0.1,0.1,10,100, 6, 22.55,16.79,74.45,0.00,True,WIN,0.9
10,0.5,0.1,0.5,10,100, 6, 53.26,45.55,85.53,0.00,True,WIN,0.75
10,0.5,0.1,1.0,10,100, 6, 217.41,214.69,98.75,0.00,True,WIN,0.49
10,0.5,0.1,2.0,10,100, 6, 5519.21,361.85,6.56,0.00,True,WIN,0.1
10,0.5,0.1,4.0,10,100, 6, 5279133.83,301.06,0.01,0.00,True,WIN,0.1
10,0.5,0.1,5.0,10,100, 6, 173085948.75,280.99,0.00,0.00,True,WIN,0.1
10,0.5,1.0,0.1,10,100, 6, 26.28,20.79,79.08,0.00,True,WIN,0.9
10,0.5,1.0,0.5,10,100, 6, 150.77,132.78,88.07,0.00,True,WIN,0.75
10,0.5,1.0,1.0,10,100, 6, 2100.68,2098.32,99.89,0.00,True,WIN,0.31
10,0.5,1.0,2.0,10,100, 6, 551113.65,3622.15,0.66,0.00,True,WIN,0.1
10,0.5,1.0,4.0,10,100, 6, 52791256744.44,3010.89,0.00,0.00,True,WIN,0.1
10,0.5,1.0,5.0,10,100, 6, 17308594059349.72,2809.49,0.00,0.00,True,WIN,0.1
10,0.5,2.0,0.1,10,100, 6, 27.58,21.19,76.82,0.00,True,WIN,0.9
