size,density,alpha,beta, population, generations, offspring,  baseline_cost,ga_cost,improvement %,elapsed_time_min,is_valid,challenge, split_probability
500,0.2,0.5,0.5,30,37, 9, 7295.59,5048.17,69.19,0.16,True,WIN,0.75
500,0.2,0.5,1.0,30,35, 9, 52150.77,52087.35,99.88,0.16,True,WIN,0.41
500,0.2,2.0,0.5,30,37, 9, 14180.01,9906.51,69.86,0.16,True,WIN,0.75
500,0.2,2.0,1.0,30,35, 9, 207369.56,207320.89,99.98,0.28,True,WIN,0.10999999999999999
500,1.0,0.5,0.5,30,37, 9, 4936.95,3651.58,73.96,0.74,True,WIN,0.75
500,1.0,0.5,1.0,30,35, 9, 49031.00,48956.42,99.85,1.04,True,WIN,0.41
500,1.0,2.0,0.5,30,37, 9, 9488.25,7165.44,75.52,0.73,True,WIN,0.75
500,1.0,2.0,1.0,30,35, 9, 194967.01,194927.06,99.98,0.85,True,WIN,0.10999999999999999
