size,density,alpha,beta, population, generations, offspring,  baseline_cost,ga_cost,improvement %,elapsed_time_min,is_valid,challenge, split_probability
500,0.2,0.5,0.5,100,100, 20, 7295.59,7193.64,98.60,0.47,True,WIN,0.75
500,0.2,0.5,1.0,100,100, 20, 52150.77,54456.02,104.42,1.03,True,LOSE,0.41
500,0.2,2.0,0.5,100,100, 20, 14180.01,14097.79,99.42,0.94,True,WIN,0.75
500,0.2,2.0,1.0,100,100, 20, 207369.56,229731.17,110.78,0.80,True,LOSE,0.10999999999999999
500,1.0,0.5,0.5,100,100, 20, 4936.95,4918.99,99.64,2.85,True,WIN,0.75
500,1.0,0.5,1.0,100,100, 20, 49031.00,50602.85,103.21,2.35,True,LOSE,0.41
500,1.0,2.0,0.5,100,100, 20, 9488.25,9434.16,99.43,0.71,True,WIN,0.75
500,1.0,2.0,1.0,100,100, 20, 194967.01,213032.01,109.27,1.34,True,LOSE,0.10999999999999999
